,Bagerhat,Bandarban,Barguna,Barisal,Bhola,Bogra,Brahmanbaria,Chandpur,Chittagong,Chuadanga,Comilla,Cox's bazar,Dhaka,Dinajpur,Faridpur,Feni,Gaibandha,Gazipur,Gopalganj,Habiganj,Jamalpur,Jessore,Jhalokati,Jhenaidah,Joypurhat,Khagrachhari,Khulna,Kishoregonj,Kurigram,Kushtia,Lakshmipur,Lalmonirhat,Madaripur,Magura,Manikganj,Maulvibazar,Meherpur,Munshiganj,Mymensingh,Naogaon,Narail,Narayanganj,Narsingdi,Natore,Nawabganj,Netrakona,Nilphamari,Noakhali,Pabna,Panchagarh,Patuakhali,Pirojpur,Rajbari,Rajshahi,Rangamati,Rangpur,Satkhira,Shariatpur,Sherpur,Sirajganj,Sunamganj,Sylhet,Tangail,Thakurgaon
Comilla,19,17,0,28,17,5,272,87,54751,4,9476,185,26956,55,16,534,14,3584,0,82,8,164,0,61,2,102,208,7,2,41,0,44,0,2,0,454,2,14,19,2,2,1691,73,9,3,6,3,34,9,0,0,0,1,58,267,23,5,0,0,0,67,1680,1,665
Cox's bazar,19,208,1,13,1,16,1,7,14127,0,3,42574,899,8,2,11,11,285,4,4,1,6,0,2,2,20,27,0,1,2,0,2,0,0,0,6,1,0,11,1,0,27,2,2,1,3,2,0,1,0,1,0,7,8,293,14,0,0,1,1,3,34,0,2
Dhaka,26,7,8,352,0,41,55,60,2473,22,8,46,188678,128,29,47,15,8170,5,42,17,160,0,33,0,3,405,8,3,120,0,96,11,0,5,109,14,15,162,2,1,317,2,8,18,53,8,4,110,0,0,0,6,108,30,80,0,0,9,0,0,160,133,79
Dinajpur,1,3,0,4,0,27,1,2,2494,1,18,19,5458,27878,7,47,19,1802,0,0,6,23,0,2,8,12,25,0,1,7,0,37,0,0,1,264,0,0,22,11,0,277,0,6,4,29,230,0,25,3,0,0,0,59,55,144,0,0,0,0,1,255,1,294
Faridpur,28,2,0,97,5,94,2,34,3028,105,0,36,18784,563,6995,172,2,3151,26,0,18,824,0,53,34,16,1904,0,0,695,0,35,20,20,17,26,1,40,40,18,26,676,11,4,55,0,4,1,80,0,0,0,37,884,62,23,0,14,0,0,0,199,4,233
Feni,31,14,0,6,0,0,141,26,9960,0,14,69,3082,18,11,4063,7,1808,1,1,3,14,0,0,0,65,92,0,0,17,0,0,5,0,0,49,0,0,4,0,0,135,10,0,6,1,6,96,25,0,3,0,1,14,42,7,0,0,0,1,4,92,1,7
Gaibandha,5,15,0,5,0,341,0,5,8900,40,126,157,10310,2607,3,428,5108,5386,9,1,9,33,0,12,226,2,14,11,7,6,0,174,0,0,9,2,7,0,6,7,0,739,1,7,83,0,16,8,3,4,0,0,3,450,6,439,0,0,0,0,0,128,1,303
Gazipur,1,2,1,4,0,0,0,6,1019,0,2,6,3330,4,0,1,2,29019,2,2,8,2,0,2,0,0,29,4,1,4,0,2,0,0,0,10,0,0,20,1,0,187,69,0,3,0,7,0,4,0,0,0,4,23,4,3,0,0,0,0,0,57,18,0
Gopalganj,46,4,0,54,0,5,0,5,1141,10,0,7,4569,8,48,14,6,1207,2686,1,0,479,0,2,0,2,2243,2,0,7,0,5,0,1,0,10,0,18,0,1,47,70,2,0,24,0,7,0,5,0,0,0,2,17,13,3,5,0,0,0,6,127,3,0
Habiganj,0,0,0,4,0,0,31,4,2245,0,8,0,2918,8,2,397,1,388,1,5840,420,3,0,0,0,7,18,87,0,0,0,2,0,0,0,2178,0,0,4,0,0,43,0,1,0,0,5,4,2,0,0,0,0,0,12,4,0,1,0,0,191,4344,0,1
Jamalpur,0,0,0,0,0,14,4,2,1700,0,24,0,17445,25,1,23,11,12287,0,2,15348,4,0,0,0,9,13,3,2,2,0,30,0,0,0,39,0,23,218,1,0,899,6,1,0,6,7,0,7,0,0,0,2,109,18,88,0,0,58,0,12,188,22,78
Jessore,50,0,3,48,0,10,0,3,1544,20,7,17,3643,21,46,54,0,830,18,0,7,17351,0,136,3,5,931,3,1,137,0,1,27,10,0,9,2,8,5,0,36,97,13,7,4,1,3,0,35,1,4,0,3,27,22,14,22,1,0,0,0,92,2,10
Jhalokati,16,0,43,1343,0,2,0,1,2200,0,0,10,4327,2,0,28,0,390,0,0,0,35,551,0,0,3,1372,0,0,0,0,1,0,0,0,0,2,6,1,0,0,89,0,0,0,0,0,1,1,0,0,0,0,6,0,3,0,0,0,0,0,31,0,0
Jhenaidah,3,0,0,3,0,2,0,0,336,43,0,4,1088,8,10,18,0,529,0,0,0,283,0,2057,0,0,175,1,0,150,0,0,0,24,0,2,0,0,0,0,0,50,0,0,0,0,1,0,13,1,0,0,11,13,9,0,0,0,0,0,2,10,0,0
